clab19,leave,outright,mortgage,one,married,cnone,cone,ctwo,qnone,qfour,healthvg,healthg,depnone,depone,region
-33.19830369,60.12448399,34.63894431,32.19573664,30.35808044,32.63677413,27.89387098,43.74321817,22.2058875,32.94217031,16.6161644,44.55264391,28.27937641,32.23073961,29.67902272,Wales
6.383179037,52.19711731,41.25473784,28.49020846,34.65334807,29.65097915,22.38629185,44.48436513,24.94472521,23.69282772,27.13214323,46.59221838,32.62075689,40.87571068,34.25852811,Wales
6.938764601,43.09220874,18.66539603,25.95352061,39.25191137,23.75950272,39.59411752,42.95986658,14.55025882,22.45871731,28.96103289,52.19660024,31.83414615,40.37382773,33.18966451,Scotland
27.52969017,32.1431052,28.55011529,33.38306433,39.46154889,29.05872779,27.79058728,45.70731046,21.56290972,17.01892527,40.29562094,56.59195038,30.46771892,51.91464352,30.4738008,Scotland
38.09354204,38.51948274,34.80426471,40.03015454,24.446718,46.32760756,10.19600452,38.81858812,38.06741694,18.12727199,33.28963905,58.72751063,30.31076219,53.01276183,31.30418394,Scotland
-14.37443428,39.83812657,21.77976321,38.16323175,30.49221662,33.82481912,29.83994738,42.30431923,22.15522912,36.0254175,15.48536765,50.19162444,28.18684839,32.53946503,32.28732734,Scotland
34.83685221,57.89776574,24.48563254,40.94041547,25.09516109,38.89289713,15.82535141,42.29630551,32.0388108,18.51107124,24.99247468,50.03175459,35.64885202,47.9437741,32.83741759,South East
50.41939912,67.79634958,38.89854173,36.69562519,27.04002482,36.36363636,19.13124418,41.54204158,29.93174061,29.45354674,20.52909051,42.68454283,35.73024658,39.97517841,33.06236426,West Midlands
11.21012362,38.58779999,35.3514109,38.72906182,28.01522322,38.91434438,16.0019029,41.63098726,33.99434137,15.18875752,40.34562331,54.3415018,30.6664182,54.41548361,29.01925436,North West
-0.495256696,58.05336875,33.48346603,39.10908351,27.25344337,36.85128146,17.07735224,43.00575347,30.73458476,22.62892931,21.26397171,48.98369796,32.7943761,43.92689022,32.33277155,Wales
37.0575197,65.29912472,36.75751408,35.71069814,27.93888287,36.04113246,21.03941421,42.66039282,27.72476143,29.66538854,18.72500069,42.41434635,35.3538227,40.56676095,31.40712152,East Midlands
35.60342831,48.2443342,30.52119349,29.05877833,33.97362018,33.22832629,26.23895505,44.04149059,22.58675887,29.77105674,21.04760165,50.60462304,32.77754523,38.21744141,35.35920092,Scotland
-20.37903281,35.84544298,33.31267559,29.14394315,32.43678731,29.89588498,23.60353661,41.7121137,26.11138655,20.98264503,27.89450426,53.16560184,29.55112014,42.20789952,32.06494794,Wales
28.47450572,39.43239691,37.63987539,28.45358255,35.57133956,33.25358255,23.3894081,45.62242991,24.11214953,24.73043903,28.85760399,51.56522923,30.76355965,40.15202492,35.09781931,Scotland
42.08572173,49.70110581,42.2556572,33.71449206,28.01877708,38.60616273,10.34665383,39.47038999,35.83533943,17.91559322,32.95373931,49.00737146,34.83298549,51.46846413,32.72267694,South East
14.82237648,70.47288884,34.17348232,34.91533233,27.88849211,35.2401797,23.5410667,44.03640134,25.38186845,32.25316273,14.62752807,41.06403438,34.65667131,35.99585301,32.49164843,East Midlands
